collection_title,item_title,item_url,reference,year,issue,pages
"Archival records from ""Արձագանք ['Ardzaganq' newspaper], 1895-1897"" (EAP180-3-10)","""Արձագանք [Ardzaganq], Issue 1, 1895""",https://eap.bl.uk/archive-file/EAP180-3-10-1,EAP180/3/10/1,1895,1,
"Archival records from ""Արձագանք ['Ardzaganq' newspaper], 1895-1897"" (EAP180-3-10)","""Արձագանք [Ardzaganq], Issue 3, pages 3-4, 1895""",https://eap.bl.uk/archive-file/EAP180-3-10-2,EAP180/3/10/2,1895,3,3-4
"Archival records from ""Արձագանք ['Ardzaganq' newspaper], 1895-1897"" (EAP180-3-10)","""Արձագանք [Ardzaganq], Issue 4, 1895""",https://eap.bl.uk/archive-file/EAP180-3-10-3,EAP180/3/10/3,1895,4,
"Archival records from ""Արձագանք ['Ardzaganq' newspaper], 1895-1897"" (EAP180-3-10)","""Արձագանք [Ardzaganq], Issue 5, 1895""",https://eap.bl.uk/archive-file/EAP180-3-10-4,EAP180/3/10/4,1895,5,
"Archival records from ""Արձագանք ['Ardzaganq' newspaper], 1895-1897"" (EAP180-3-10)","""Արձագանք [Ardzaganq], Issue 3, pages 1-2, 1895""",https://eap.bl.uk/archive-file/EAP180-3-10-5,EAP180/3/10/5,1895,3,1-2
"Archival records from ""Արձագանք ['Ardzaganq' newspaper], 1895-1897"" (EAP180-3-10)","""Արձագանք [Ardzaganq], Issue 6, 1895""",https://eap.bl.uk/archive-file/EAP180-3-10-6,EAP180/3/10/6,1895,6,
"Archival records from ""Արձագանք ['Ardzaganq' newspaper], 1895-1897"" (EAP180-3-10)","""Արձագանք [Ardzaganq], Issue 7, 1895""",https://eap.bl.uk/archive-file/EAP180-3-10-7,EAP180/3/10/7,1895,7,
"Archival records from ""Արձագանք ['Ardzaganq' newspaper], 1895-1897"" (EAP180-3-10)","""Արձագանք [Ardzaganq], Issue 8, 1895""",https://eap.bl.uk/archive-file/EAP180-3-10-8,EAP180/3/10/8,1895,8,
"Archival records from ""Արձագանք ['Ardzaganq' newspaper], 1895-1897"" (EAP180-3-10)","""Արձագանք [Ardzaganq], Issue 9, 1895""",https://eap.bl.uk/archive-file/EAP180-3-10-9,EAP180/3/10/9,1895,9,
"Archival records from ""Արձագանք ['Ardzaganq' newspaper], 1895-1897"" (EAP180-3-10)","""Արձագանք [Ardzaganq], Issue 10, 1895""",https://eap.bl.uk/archive-file/EAP180-3-10-10,EAP180/3/10/10,1895,10,
"Archival records from ""Արձագանք ['Ardzaganq' newspaper], 1895-1897"" (EAP180-3-10)","""Արձագանք [Ardzaganq], Issue 11, 1895""",https://eap.bl.uk/archive-file/EAP180-3-10-11,EAP180/3/10/11,1895,11,
"Archival records from ""Արձագանք ['Ardzaganq' newspaper], 1895-1897"" (EAP180-3-10)","""Արձագանք [Ardzaganq], Issue 12, 1895""",https://eap.bl.uk/archive-file/EAP180-3-10-12,EAP180/3/10/12,1895,12,
"Archival records from ""Արձագանք ['Ardzaganq' newspaper], 1895-1897"" (EAP180-3-10)","""Արձագանք [Ardzaganq], Issue 13, 1895""",https://eap.bl.uk/archive-file/EAP180-3-10-13,EAP180/3/10/13,1895,13,
"Archival records from ""Արձագանք ['Ardzaganq' newspaper], 1895-1897"" (EAP180-3-10)","""Արձագանք [Ardzaganq], Issue 14, 1895""",https://eap.bl.uk/archive-file/EAP180-3-10-14,EAP180/3/10/14,1895,14,
"Archival records from ""Արձագանք ['Ardzaganq' newspaper], 1895-1897"" (EAP180-3-10)","""Արձագանք [Ardzaganq], Issue 15, 1895""",https://eap.bl.uk/archive-file/EAP180-3-10-15,EAP180/3/10/15,1895,15,
"Archival records from ""Արձագանք ['Ardzaganq' newspaper], 1895-1897"" (EAP180-3-10)","""Արձագանք [Ardzaganq], Issue 16, 1895""",https://eap.bl.uk/archive-file/EAP180-3-10-16,EAP180/3/10/16,1895,16,
"Archival records from ""Արձագանք ['Ardzaganq' newspaper], 1895-1897"" (EAP180-3-10)","""Արձագանք [Ardzaganq], Issue 17, 1895""",https://eap.bl.uk/archive-file/EAP180-3-10-17,EAP180/3/10/17,1895,17,
"Archival records from ""Արձագանք ['Ardzaganq' newspaper], 1895-1897"" (EAP180-3-10)","""Արձագանք [Ardzaganq], Issue 18, 1895""",https://eap.bl.uk/archive-file/EAP180-3-10-18,EAP180/3/10/18,1895,18,
